"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"1","Larus marinus","Laridae","5/28/2006 0:00",-67.10187,44.50182,"HumanObservation",2006,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_GBBG_11982_2006-05-28","present",NA
"2","Fratercula arctica","Alcidae","6/1/2011 0:00",-67.10187,44.50182,"HumanObservation",2011,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_ATPU_10137_2011-06-01","present",NA
"3","Fratercula arctica","Alcidae","1/1/1977 0:00",-67.10187,44.50182,"HumanObservation",1977,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_ATPU_13426_1977-01-01","present",NA
"4","Oceanodroma leucorhoa","Hydrobatidae","1/1/1966 0:00",-67.10187,44.50182,"HumanObservation",1966,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_LESP_13455_1966-01-01","present",NA
"5","Alca torda","Alcidae","1/1/1980 0:00",-67.10187,44.50182,"HumanObservation",1980,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_RAZO_153_1980-01-01","present",NA
"6","Alca torda","Alcidae","1/1/2012 0:00",-67.10187,44.50182,"HumanObservation",2012,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_RAZO_13449_2012-01-01","present",NA
"7","Alca torda","Alcidae","1/1/2016 0:00",-67.10187,44.50182,"HumanObservation",2016,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_RAZO_13450_2016-01-01","present",NA
"8","Fratercula arctica","Alcidae","6/1/1987 0:00",-67.10187,44.50182,"HumanObservation",1987,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_ATPU_134_1987-06-01","present",NA
"9","Cepphus grylle","Alcidae","1/1/1973 0:00",-67.10187,44.50182,"HumanObservation",1973,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_BLGU_141_1973-01-01","present",NA
"10","Oceanodroma leucorhoa","Hydrobatidae","1/1/1973 0:00",-67.10187,44.50182,"HumanObservation",1973,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_LESP_13457_1973-01-01","present",NA
"11","Sterna dougallii","Sternidae","1/1/1982 0:00",-67.10187,44.50182,"HumanObservation",1982,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_ROST_3583_1982-01-01","present",NA
"12","Somateria mollissima","Anatidae","1/1/2000 0:00",-67.10187,44.50182,"HumanObservation",2000,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_COEI_4959_2000-01-01","present",NA
"13","Sterna hirundo","Sternidae","1/1/1987 0:00",-67.10187,44.50182,"HumanObservation",1987,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_COTE_3587_1987-01-01","present",NA
"14","Alca torda","Alcidae","1/1/1981 0:00",-67.10187,44.50182,"HumanObservation",1981,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_RAZO_154_1981-01-01","present",NA
"15","Fratercula arctica","Alcidae","1/1/1974 0:00",-67.10187,44.50182,"HumanObservation",1974,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_ATPU_13423_1974-01-01","present",NA
"16","Oceanodroma leucorhoa","Hydrobatidae","1/1/1980 0:00",-67.10187,44.50182,"HumanObservation",1980,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_LESP_148_1980-01-01","present",NA
"17","Sterna hirundo","Sternidae","1/1/1971 0:00",-67.10187,44.50182,"HumanObservation",1971,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_COTE_3570_1971-01-01","present",NA
"18","Fratercula arctica","Alcidae","1/1/1980 0:00",-67.10187,44.50182,"HumanObservation",1980,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_ATPU_138_1980-01-01","present",NA
"19","Oceanodroma leucorhoa","Hydrobatidae","1/1/1971 0:00",-67.10187,44.50182,"HumanObservation",1971,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_LESP_13456_1971-01-01","present",NA
"20","Sterna hirundo","Sternidae","6/12/2006 0:00",-67.10187,44.50182,"HumanObservation",2006,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_COTE_11980_2006-06-12","present",NA
"21","Sterna paradisaea","Sternidae","6/1/2000 0:00",-67.10187,44.50182,"HumanObservation",2000,NA,NA,"cws_atlantic_colonydbase","CWS:Waterbird colony database (Atlantic region)","e5d5eb76-532a-48c4-9d02-705f68486ebb","Canadian Wildlife Service - Atlantic Region (CWS - Atlantic)",NA,NA,"NB000085_ARTE_4957_2000-06-01","present",NA
