"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"1","Morus bassanus","Sulidae","2005-01-20T11:10:00",-75.7288,35.0677,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_574","present",NA
"2","Morus bassanus","Sulidae","2005-01-20T12:00:00",-75.7715,35.027,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_597","present",NA
"3","Morus bassanus","Sulidae","2005-01-31T14:47:00",-76.7728,34.4818,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1058","present",NA
"4","Larus argentatus","Laridae","2005-01-20T17:05:00",-75.7248,34.9815,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_680","present",NA
"5","Morus bassanus","Sulidae","2005-01-21T10:57:00",-75.6262,35.1142,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_792","present",NA
"6","Morus bassanus","Sulidae","2005-02-01T09:12:00",-76.6568,34.4557,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1117","present",NA
"7","Morus bassanus","Sulidae","2005-01-19T08:41:00",-76.2663,34.6747,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_349","present",NA
"8","Morus bassanus","Sulidae","2005-01-21T09:56:00",-75.7415,35.06,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_749","present",NA
"9","Larus marinus","Laridae","2005-02-01T09:46:00",-76.7283,34.4498,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1128","present",NA
"10","Alca torda","Alcidae","2005-01-19T13:24:00",-75.8568,34.9195,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_420","present",NA
