"","scientificName","family","decimalLongitude","decimalLatitude","date_year","datasetName","month","season","ecoregion"
"1","Onychoprion fuscatus","Laridae",-73.0833,22.6,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"2","Puffinus lherminieri","Procellariidae",-73.05,22.6667,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"3","Anous stolidus","Sternidae",-73.0667,22.6333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"4","Phaethon lepturus","Phaethontidae",-72.9667,22.9333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"5","Puffinus lherminieri","Procellariidae",-73.2833,22.3333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"6","Onychoprion fuscatus","Laridae",-73.1,22.5667,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"7","Onychoprion fuscatus","Laridae",-73.0667,22.6333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"8","Sula leucogaster","Sulidae",-73.1,22.5667,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"9","Puffinus lherminieri","Procellariidae",-73.65,21.35,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"10","Sula leucogaster","Sulidae",-73.0667,22.6333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"11","Puffinus lherminieri","Procellariidae",-72.95,22.9667,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"12","Sterna hirundo","Sternidae",-73.1333,22.5,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"13","Sula leucogaster","Sulidae",-73.1167,22.5333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"14","Fregata magnificens","Fregatidae",-73.5333,21.6333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"15","Puffinus lherminieri","Procellariidae",-73.5333,21.6333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Bahamas"
"16","Oceanodroma tethys","Hydrobatidae",-89.4667,11.5333,1970,"PIROP Northwest Atlantic 1965-1992",6,"Summer","Chiapas Nicaragua"
