"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"1","Megaceryle alcyon","Alcedinidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,2,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:06","Presente",NA
"2","Onychoprion fuscatus","Laridae","9/25/2018",-81.85,12.167,"HumanObservation",2018,1,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:32","Presente",NA
"3","Megaceryle alcyon","Alcedinidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,1,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:46","Presente",NA
"4","Calidris minutilla","Scolopacidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,11,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:19","Presente",NA
"5","Fregata magnificens","Fregatidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,2,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:44","Presente",NA
"6","Actitis macularius","Scolopacidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,1,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:33","Presente",NA
"7","Fregata magnificens","Fregatidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,4,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:21","Presente",NA
"8","Arenaria interpres","Scolopacidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,2,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:31","Presente",NA
"9","Calidris mauri","Scolopacidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,3,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:36","Presente",NA
"10","Sula leucogaster","Sulidae","9/25/2018",-81.85,12.167,"HumanObservation",2018,2,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:12","Presente",NA
"11","Larus atricilla","Laridae","9/25/2018",-81.85,12.167,"HumanObservation",2018,1,"Felipe Estela",NA,NA,"948851ff-3387-45dc-a97b-87f381dbacbe","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","Asociación para el Estudio y Conservación de las Aves en Colombia (Calidris)","CALIDRIS:SEAFLOWER2018:18","Presente",NA
