"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"1","Phalaropus tricolor","Phalaropodidae","2004-08-17T21:03:17",-75.7367,34.4415,"HumanObservation",2004,9,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_85","present",NA
"2","Calonectris diomedea","Procellariidae","2004-08-17T11:26:39",-75.8428,34.2536,"HumanObservation",2004,1,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_59","present",NA
"3","Puffinus lherminieri","Procellariidae","2004-08-19T13:45:47",-75.8518,34.3777,"HumanObservation",2004,1,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_180","present",NA
"4","Calonectris diomedea","Procellariidae","2004-08-18T21:19:23",-75.5954,34.2976,"HumanObservation",2004,3,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_196","present",NA
"5","Calonectris diomedea","Procellariidae","2004-08-16T12:27:07",-75.8134,34.2378,"HumanObservation",2004,15,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_36","present",NA
"6","Calonectris diomedea","Procellariidae","2004-08-19T12:14:05",-75.6904,34.3855,"HumanObservation",2004,2,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_223","present",NA
"7","Oceanites oceanicus","Hydrobatidae","2004-08-18T19:19:29",-75.6123,34.2545,"HumanObservation",2004,1,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_162","present",NA
"8","Calonectris diomedea","Procellariidae","2004-08-18T20:56:41",-75.6395,34.2852,"HumanObservation",2004,5,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_172","present",NA
"9","Pterodroma hasitata","Procellariidae","2004-08-17T18:19:43",-75.6735,34.296,"HumanObservation",2004,1,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_72","present",NA
"10","Onychoprion fuscatus","Laridae","2004-08-16T17:56:55",-75.8252,34.4282,"HumanObservation",2004,1,NA,"322","Hatteras Eddy Cruise 2004","f3b08b1d-f0ad-4848-82e7-f47c19ca0778","Duke / UNC Oceanographic Consortium","Duke / UNC Oceanographic Consortium","322","322_49","present",NA
