"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"1","Oceanites oceanicus","Hydrobatidae","2005-07-15T21:09:36Z",-70.0735817,43.13225174,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","3600",NA,NA
"2","Larus argentatus","Laridae","2005-07-21T12:04:48Z",-69.58708191,43.24125099,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5342",NA,NA
"3","Morus bassanus","Sulidae","2005-07-12T15:48:36Z",-69.58181763,43.25140953,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","1370",NA,NA
"4","Larus marinus","Laridae","2005-07-21T11:40:48Z",-69.60458374,43.30075073,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5195",NA,NA
"5","Larus argentatus","Laridae","2005-07-23T17:47:24Z",-69.54782867,43.19716454,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6736",NA,NA
"6","Puffinus gravis","Procellariidae","2005-07-20T20:11:24Z",-69.45649719,43.04741478,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4666",NA,NA
"7","Puffinus griseus","Procellariidae","2005-07-24T17:24:00Z",-69.55111694,43.19910049,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7849",NA,NA
"8","Oceanites oceanicus","Hydrobatidae","2005-07-28T20:31:12Z",-70.07958221,43.1159153,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10954",NA,NA
"9","Larus marinus","Laridae","2005-07-29T18:15:00Z",-69.5437355,43.19961929,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","11349",NA,NA
"10","Larus argentatus","Laridae","2005-07-23T19:37:12Z",-69.97117233,43.05041504,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7400",NA,NA
"11","Larus marinus","Laridae","2005-07-26T15:20:24Z",-69.58566284,43.24749947,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","8966",NA,NA
"12","Larus marinus","Laridae","2005-07-12T17:51:00Z",-69.46999359,43.04584503,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","2109",NA,NA
