Season,Long,Lat,MeanSST,MaxSST,MinSST,MeanSSH,MaxSSH,MinSSH,MeanSa,MaxSa,MinSa,MeanML,MaxML,MinML,MeanNV,MaxNV,MinNV,MeanEV,MaxEv,MinEV
Sp90,-75.077579,35.242446,9.400792,10.58935,8.617158,8.61E-05,0.1008419,0,32.63156,32.71701,31.08288,0.1429116,26.97255,0,1.56E-05,0.04217367,-0.0177298,0.00024147,0.0559506,0
Sp00,-72.494183,38.16531,8.251722,9.389685,7.564995,-0.000221888,0.1084221,-0.06896166,32.16271,32.50648,27.43187,0.5113925,28.40256,0,0.000136805,0.04408907,-0.0418307,0.000476617,0.1076083,-0.06756798
Sp10,-72.313527,39.525808,8.701637,9.771441,8.186729,0.00014834,0.1091771,-0.05059291,32.29894,32.55754,29.80166,0.2929433,24.68043,0,0.000276423,0.06750242,-0.04035225,0.000269151,0.07120986,-0.02601985
Su90,-70.394388,40.870785,14.1671,14.9559,12.22016,0.00016989,0.0921223,0,32.17771,32.73539,30.13143,0.03012268,14.55442,0,-2.89E-05,0.02444387,-0.06638502,4.70E-05,0.05789797,-0.02296155
Su00,-68.42426,42.325341,13.75017,16.1301,12.50106,0.001091519,0.1726839,0,30.71159,32.56925,25.26231,0.1384573,14.8676,0,-0.00020477,0.04264453,-0.2015035,0.000245931,0.2066713,-0.04134241
Su10,-70.154767,40.850719,14.28728,18.3269,12.52703,0.000887901,0.2351847,0,31.69541,33.02414,26.18776,0.1108867,14.45673,0,-0.000311786,0.04229639,-0.2306521,0.00012431,0.1360673,-0.05597321
F90,-68.799319,42.590196,9.068881,9.479908,8.787504,-0.000497629,0,-0.04528365,32.29735,32.33799,32.23932,44.43573,45.49438,43.51068,2.25E-04,0.05679349,-0.01802045,2.36E-05,0.1377809,-0.1332438
F00,-68.468869,43.111155,9.608243,10.06251,8.957323,0.000443705,0.158859,-0.02956226,31.89486,32.39601,31.19032,0.2774592,50.69125,0,0.000219873,0.2007304,-0.1207923,2.36E-05,0.1377809,-0.1332438
F10,-69.314504,41.859718,9.954608,10.29134,9.68474,0.000152776,0.151304,-0.01957706,31.93589,32.4349,31.55851,0.06529106,48.92004,0,8.72E-05,0.1006885,0,1.66E-05,0.06187345,-0.02265152
W10,-75.07582,36.414306,5.929716,5.97879,5.835773,-0.009440016,0,-0.07098379,32.46192,32.46875,32.457,8.464020199,62.0317,0,8.72E-05,0.1006885,0,8.46402,62.0317,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
For centroids,,,Range SST,RangeSSH,,,,,,,,,,,,,,,,
,,Spring,7.5C - 10.5C,,,,,,,,,,,,,,,,,
,,Summer,12.5C -18.3C,,,,,,,,,,,,,,,,,
,,Fall,8.8C - 10.3C,,,,,,,,,,,,,,,,,
,,Winter,5.8C - 5.9C,,,,,,,,,,,,,,,,,
