,Lat,Long,MeanSST,MaxSST,MinSST,MeanSSH,MaxSSH,MinSSH,MeanSa,MaxSa,MinSa,MeanML,MaxML,MinML,MeanNV,MaxNV,MinNV,MeanEV,MaxEv,MinEV
Sp90,-74.635591,37.673878,,,,,,,,,,,,,,,,,,
Sp00,-73.453632,39.670674,,,,,,,,,,,,,,,,,,
Sp10,-73.096959,39.763168,,,,,,,,,,,,,,,,,,
Su00,-70.980003,41.659841,,,,,,,,,,,,,,,,,,
Su10,-72.923586,40.010184,,,,,,,,,,,,,,,,,,
F90,-71.541624,40.800128,,,,,,,,,,,,,,,,,,
F00,-73.014057,40.011487,,,,,,,,,,,,,,,,,,
F10,-73.858239,38.929877,,,,,,,,,,,,,,,,,,
W90,-74.660054,37.286217,,,,,,,,,,,,,,,,,,
W00,-73.642945,39.709146,,,,,,,,,,,,,,,,,,
W10,-76.974512,35.070116,,,,,,,,,,,,,,,,,,
