"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"1","Oceanodroma furcata","Hydrobatidae","2006-07-16T20:11:00",-124.399667,46.333,"HumanObservation",2006,1,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_14621","present",NA
"2","Phoebastria nigripes","Diomedeidae","2007-07-31T17:17:00",-124.184833,44.666167,"HumanObservation",2007,2,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_18257","present",NA
"3","Phoebastria nigripes","Diomedeidae","2011-07-26T13:14:00",-124.65,45.668333,"HumanObservation",2011,16,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_31863","present",NA
"4","Larus argentatus","Laridae","2005-08-05T19:14:00",-124.683833,42.333833,"HumanObservation",2005,3,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_12195","present",NA
"5","Larus glaucescens","Laridae","2011-07-10T15:34:00",-124.883,47.664,"HumanObservation",2011,4,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_31387","present",NA
"6","Fulmarus glacialis","Procellariidae","2003-07-19T14:32:00",-124.884333,47.668,"HumanObservation",2003,1,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_4993","present",NA
"7","Fulmarus glacialis","Procellariidae","2003-08-02T16:00:00",-124.652,45.662833,"HumanObservation",2003,9,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_5332","present",NA
"8","Larus glaucescens","Laridae","2007-08-07T18:21:00",-124.434333,44.166667,"HumanObservation",2007,25,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_18990","present",NA
"9","Fulmarus glacialis","Procellariidae","2010-08-08T16:00:00",-124.900667,43.000833,"HumanObservation",2010,20,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_28635","present",NA
"10","Phoebastria nigripes","Diomedeidae","2006-07-01T14:38:00",-125.633833,48.166333,"HumanObservation",2006,7,NA,"828","IPHC seabird survey 2002-2011","7e00bbac-3ca0-4c25-a80c-09e0faad1f3b","IPHC","IPHC","828","828_13983","present",NA
