"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"1","Fregata magnificens","Fregatidae","10/9/2008",-51.03062,5.4925,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_1050","present",NA
"2","Fregata magnificens","Fregatidae","10/10/2017",-52.190692,5.000533,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112839","present",NA
"3","Larus atricilla","Laridae","10/5/2017",-53.266798,5.764048,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113810","present",NA
"4","Larus atricilla","Laridae","10/5/2017",-53.367097,5.58287,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113792","present",NA
"5","Larus atricilla","Laridae","10/5/2017",-52.820788,5.509882,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113777","present",NA
"6","Anous stolidus","Sternidae","9/30/2017",-52.927738,7.560382,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111862","present",NA
"7","Anous stolidus","Sternidae","9/30/2017",-50.398513,6.372738,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111844","present",NA
"8","Larus atricilla","Laridae","10/5/2017",-53.064725,5.542477,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113784","present",NA
"9","Larus atricilla","Laridae","10/6/2017",-53.171443,5.746927,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113804","present",NA
"10","Anous stolidus","Sternidae","9/26/2017",-51.93219,7.465205,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111857","present",NA
"11","Fregata magnificens","Fregatidae","10/5/2017",-53.269305,5.761803,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112853","present",NA
"12","Larus atricilla","Laridae","9/29/2017",-52.46173,5.105053,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113760","present",NA
"13","Sula sula","Sulidae","10/25/2017",-62.817585,14.266833,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_118603","present",NA
"14","Larus atricilla","Laridae","10/1/2017",-52.97612,5.467703,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113771","present",NA
"15","Larus atricilla","Laridae","10/5/2017",-53.274917,5.756807,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113808","present",NA
"16","Larus atricilla","Laridae","9/30/2008",-50.84255,5.42674,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_573","present",NA
