"","x"
"Alca torda",0
"Haliaeetus leucocephalus",0
"Ptychoramphus aleuticus",100
"Gavia immer",100
"Bucephala albeola",100
"Anas americana",66.6
"Larus philadelphia",100
"Melanitta perspicillata",100
"Podiceps auritus",34
"Larus atricilla",0
"Uria aalge",100
"Larus argentatus",100
"Charadrius vociferus",0
"Puffinus gravis",0
"Phalacrocorax auritus",65.4
"Larus californicus",100
"Gavia stellata",100
"Larus marinus",0
"Phalacrocorax urile",100
"Phalaropus fulicarius",100
"Morus bassanus",0
"Bucephala clangula",47.7
"Melanitta fusca",100
"Cepphus columba",100
"Larus glaucescens",100
"Cepphus grylle",0
"Brachyramphus marmoratus",100
"Calidris alpina",0
"Aechmophorus occidentalis",100
"Larus occidentalis",100
"Puffinus griseus",100
"Larus canus",100
"Mergus merganser",89.3
"Fulmarus glacialis",100
"Sterna forsteri",99.6
"Podiceps grisegena",0
"Oceanites oceanicus",0
"Ardea herodias",79.9
"Oceanodroma furcata",100
"Mergus serrator",75
"Sterna paradisaea",100
"Pterodroma hasitata",0
"Calonectris diomedea",0
"Rissa tridactyla",100
"Fratercula arctica",0
"Fratercula cirrhata",100
"Branta bernicla",0
"Puffinus lherminieri",0
"Sula leucogaster",0
"Sterna hirundo",100
"Phalacrocorax penicillatus",100
"Oceanodroma leucorhoa",100
"Phalaropus lobatus",100
"Cerorhinca monocerata",100
"Uria lomvia",0
"Arenaria interpres",0
"Aythya valisineria",100
"Oxyura jamaicensis",98.4
"Anas acuta",91.7
"Phalacrocorax pelagicus",100
"Hydroprogne caspia",100
"Gavia pacifica",47.3
"Phoebastria nigripes",100
"Bucephala islandica",0
"Oceanodroma castro",0
"Larus heermanni",100
"Melanitta nigra",99.8
"Larus fuscus",0
"Alle alle",0
"Stercorarius parasiticus",100
"Branta canadensis",48.5
"Sterna maxima",33.1
"Puffinus creatopus",100
"Pelecanus occidentalis",100
"Anser caerulescens",0
"Stercorarius pomarinus",100
"Anas strepera",0
"Anas crecca",0
"Haematopus bachmani",0
"Xema sabini",100
"Melanitta americana",0
"Onychoprion fuscatus",0
"Pterodroma arminjoniana",21.2
"Sterna sandvicensis",0
"Larus delawarensis",83.8
"Clangula hyemalis",36.9
"Oceanodroma melania",100
"Cygnus columbianus",0
"Egretta thula",64.6
"Aythya marila",0
"Oceanodroma homochroa",100
"Phalaropus tricolor",0
"Anous stolidus",0
"Puffinus puffinus",99.9
"Phalacrocorax brasilianus",99.7
"Oceanodroma tethys",87.9
"Calidris himantopus",0
"Arenaria melanocephala",0
"Puffinus opisthomelas",99.7
"Chlidonias niger",0
"Sterna dougallii",0
"Anas platyrhynchos",98
"Phoebastria immutabilis",100
"Limnodromus griseus",0
"Synthliboramphus antiquus",97.2
"Pelagodroma marina",0
"Stercorarius longicaudus",99.3
"Puffinus bulleri",100
"Puffinus pacificus",66.8
"Calidris pusilla",0
"Sternula albifrons",0
"Onychoprion anaethetus",0
"Sternula antillarum",0
"Anas rubripes",0
"Somateria mollissima",0
"Pterodroma cookii",81.6
"Stercorarius maccormicki",98.9
"Sula dactylatra",19.6
"Pluvialis squatarola",0
"Phaethon aethereus",0
"Stercorarius skua",20.3
"Phalacrocorax carbo",0
"Larus glaucoides",0
"Fregata magnificens",0
"Fratercula corniculata",99.6
"Phaethon lepturus",0
"Limosa fedoa",98.6
"Aythya americana",73.1
"Cygnus buccinator",0
"Sterna repressa",0
"Anas discors",0
"Tringa melanoleuca",0
"Calidris minutilla",0
"Calidris alba",34.3
"Pterodroma inexpectata",93.2
"Larus thayeri",0
"Aythya collaris",55.3
"Charadrius wilsonia",0
"Recurvirostra americana",96.2
"Puffinus carneipes",74.6
"Pterodroma feae",0
"Gelochelidon nilotica",0
"Sula sula",0
"Sterna elegans",99.9
"Cepphus carbo",35.4
"Tringa semipalmatus",90.7
"Numenius phaeopus",35.6
"Podiceps nigricollis",65.2
"Calidris bairdii",0
"Larus hyperboreus",0
"Hydrocoloeus minutus",0
"Aythya affinis",0
"Rynchops niger",0
"Calidris fuscicollis",0
"Tringa flavipes",0
"Synthliboramphus hypoleucus",78.5
"Puffinus assimilis",0
"Haematopus palliatus",0
"Charadrius semipalmatus",0
"Sula nebouxii",0
"Tringa incana",0
"Pelecanus erythrorhynchos",62.7
"Halocyptena microsoma",0
"Aix sponsa",0
"Puffinus tenuirostris",80.1
"Podilymbus podiceps",0
"Larus ridibundus",0
"Himantopus mexicanus",36.6
"Calidris melanotos",0
"Pterodroma cahow",0
"Actitis macularius",0
"Larus livens",0
