"","x"
"Aechmophorus occidentalis",0
"Alca torda",100
"Anas acuta",0
"Anas crecca",0
"Anas discors",76.3
"Anas platyrhynchos",0
"Anas rubripes",0
"Anas strepera",0
"Ardea herodias",100
"Arenaria interpres",99.5
"Brachyramphus marmoratus",0
"Branta canadensis",0
"Calidris alba",85.1
"Calidris alpina",57.1
"Calidris fuscicollis",0
"Calidris minutilla",88.9
"Calidris pusilla",98.8
"Calonectris diomedea",100
"Cepphus columba",0
"Cepphus grylle",0
"Cerorhinca monocerata",0
"Charadrius semipalmatus",37.6
"Chlidonias niger",100
"Egretta thula",73.1
"Fratercula arctica",95.6
"Fratercula cirrhata",0
"Fregetta tropica",20.4
"Fulmarus glacialis",100
"Gavia immer",100
"Gavia stellata",100
"Haematopus palliatus",0
"Hydroprogne caspia",100
"Larus argentatus",100
"Larus atricilla",100
"Larus californicus",0
"Larus delawarensis",100
"Larus fuscus",100
"Larus glaucescens",0
"Larus heermanni",0
"Larus hyperboreus",33.1
"Larus marinus",100
"Larus occidentalis",0
"Larus philadelphia",100
"Megaceryle alcyon",58.6
"Melanitta fusca",80.4
"Melanitta nigra",95.5
"Melanitta perspicillata",20.2
"Mergus serrator",98.3
"Morus bassanus",100
"Numenius phaeopus",20.9
"Oceanites oceanicus",100
"Oceanodroma castro",100
"Oceanodroma furcata",0
"Oceanodroma homochroa",0
"Oceanodroma leucorhoa",100
"Oceanodroma melania",0
"Onychoprion anaethetus",100
"Onychoprion fuscatus",100
"Pelagodroma marina",0
"Pelecanus occidentalis",100
"Phaethon aethereus",98.3
"Phaethon lepturus",100
"Phalacrocorax auritus",99.3
"Phalacrocorax brasilianus",0
"Phalacrocorax carbo",0
"Phalacrocorax pelagicus",0
"Phalacrocorax penicillatus",0
"Phalaropus fulicarius",100
"Phalaropus lobatus",100
"Phoebastria nigripes",0
"Pluvialis dominica",19.9
"Pluvialis squatarola",84.3
"Podiceps auritus",60.1
"Podiceps nigricollis",0
"Podilymbus podiceps",73.8
"Pterodroma arminjoniana",100
"Pterodroma feae",100
"Pterodroma hasitata",100
"Ptychoramphus aleuticus",0
"Puffinus bulleri",0
"Puffinus creatopus",0
"Puffinus gravis",100
"Puffinus griseus",100
"Puffinus lherminieri",100
"Puffinus puffinus",100
"Puffinus tenuirostris",0
"Rissa tridactyla",100
"Somateria mollissima",0
"Stercorarius longicaudus",100
"Stercorarius maccormicki",100
"Stercorarius parasiticus",100
"Stercorarius pomarinus",100
"Stercorarius skua",92.3
"Sterna dougallii",65.9
"Sterna elegans",0
"Sterna forsteri",100
"Sterna hirundo",100
"Sterna maxima",100
"Sterna paradisaea",100
"Sterna repressa",94.5
"Sterna sandvicensis",100
"Sternula antillarum",100
"Sula dactylatra",91.1
"Synthliboramphus antiquus",0
"Uria aalge",0
"Xema sabini",70
"Aix sponsa",21
"Alle alle",97.6
"Anas americana",0
"Anous stolidus",36.7
"Anser caerulescens",0
"Aythya marila",84.4
"Branta bernicla",0
"Bucephala albeola",0
"Calidris melanotos",34.3
"Charadrius vociferus",37
"Clangula hyemalis",20.1
"Gelochelidon nilotica",96.3
"Haliaeetus leucocephalus",0
"Larus glaucoides",36.2
"Limnodromus griseus",20.6
"Oxyura jamaicensis",0
"Pelecanus erythrorhynchos",34.8
"Puffinus carneipes",0
"Sula leucogaster",35.9
"Tringa melanoleuca",20.6
"Aythya affinis",60.1
"Bucephala clangula",0
"Calidris maritima",0
"Cygnus columbianus",0
"Fratercula corniculata",0
"Histrionicus histrionicus",0
"Hydrocoloeus minutus",49.1
"Larus canus",0
"Limosa fedoa",0
"Mergus merganser",0
"Phoebastria immutabilis",0
"Podiceps grisegena",0
"Pterodroma inexpectata",0
"Puffinus opisthomelas",0
"Tringa semipalmatus",91.8
"Uria lomvia",0
"Anas clypeata",0
"Aythya americana",0
"Aythya collaris",0
"Aythya valisineria",0
"Larus livens",0
"Recurvirostra americana",0
"Sula nebouxii",0
"Gavia pacifica",0
"Larus pipixcan",0
"Sternula albifrons",50.5
"Actitis macularius",0
"Calidris canutus",95.4
"Fregata magnificens",19.7
"Hydrobates pelagicus",77.2
"Pterodroma cahow",98.9
"Tringa flavipes",62.5
"Charadrius wilsonia",0
"Halocyptena microsoma",0
"Himantopus mexicanus",18.2
"Oceanodroma tethys",0
"Pterodroma cookii",0
"Puffinus pacificus",0
"Sula sula",0
"Synthliboramphus hypoleucus",0
"Arenaria melanocephala",0
"Bucephala islandica",0
"Bulweria bulwerii",0
"Calidris himantopus",0
"Cepphus carbo",0
"Haematopus bachmani",0
"Limnodromus scolopaceus",20.6
"Phalacrocorax urile",0
"Phalaropus tricolor",69.2
"Tringa incana",0
"Calidris bairdii",0
"Calonectris edwardsii",19.9
"Oceanodroma monorhis",20.5
"Plegadis falcinellus",19.2
"Puffinus assimilis",0
"Cygnus buccinator",0
"Larus ridibundus",0
"Larus thayeri",0
"Lophodytes cucullatus",0
"Melanitta americana",100
"Rynchops niger",0
