"","x"
"Alca torda",0
"Haliaeetus leucocephalus",100
"Ptychoramphus aleuticus",100
"Gavia immer",100
"Bucephala albeola",100
"Anas americana",100
"Larus philadelphia",100
"Melanitta perspicillata",100
"Podiceps auritus",100
"Larus atricilla",0
"Uria aalge",100
"Larus argentatus",100
"Charadrius vociferus",100
"Puffinus gravis",0
"Phalacrocorax auritus",100
"Larus californicus",100
"Gavia stellata",100
"Larus marinus",0
"Phalacrocorax urile",100
"Phalaropus fulicarius",73.6
"Morus bassanus",0
"Bucephala clangula",100
"Melanitta fusca",100
"Cepphus columba",100
"Larus glaucescens",100
"Cepphus grylle",0
"Brachyramphus marmoratus",100
"Calidris alpina",100
"Aechmophorus occidentalis",100
"Larus occidentalis",100
"Puffinus griseus",100
"Larus canus",100
"Mergus merganser",100
"Fulmarus glacialis",100
"Sterna forsteri",0
"Podiceps grisegena",100
"Oceanites oceanicus",0
"Ardea herodias",100
"Oceanodroma furcata",100
"Mergus serrator",100
"Sterna paradisaea",21.3
"Pterodroma hasitata",0
"Calonectris diomedea",0
"Rissa tridactyla",100
"Fratercula arctica",0
"Fratercula cirrhata",100
"Branta bernicla",100
"Puffinus lherminieri",0
"Sula leucogaster",0
"Sterna hirundo",36.3
"Phalacrocorax penicillatus",100
"Oceanodroma leucorhoa",100
"Phalaropus lobatus",99.7
"Cerorhinca monocerata",100
"Uria lomvia",0
"Arenaria interpres",58.6
"Aythya valisineria",100
"Oxyura jamaicensis",100
"Anas acuta",100
"Phalacrocorax pelagicus",100
"Hydroprogne caspia",100
"Gavia pacifica",100
"Phoebastria nigripes",100
"Bucephala islandica",100
"Oceanodroma castro",0
"Larus heermanni",100
"Melanitta nigra",100
"Larus fuscus",0
"Alle alle",0
"Stercorarius parasiticus",35.6
"Branta canadensis",100
"Sterna maxima",0
"Puffinus creatopus",100
"Pelecanus occidentalis",38
"Anser caerulescens",100
"Stercorarius pomarinus",99.9
"Anas strepera",100
"Anas crecca",100
"Haematopus bachmani",100
"Xema sabini",99.9
"Melanitta americana",0
"Onychoprion fuscatus",0
"Pterodroma arminjoniana",0
"Sterna sandvicensis",0
"Larus delawarensis",91.2
"Clangula hyemalis",0
"Oceanodroma melania",0
"Cygnus columbianus",95.7
"Egretta thula",0
"Aythya marila",100
"Oceanodroma homochroa",0
"Phalaropus tricolor",100
"Anous stolidus",0
"Puffinus puffinus",0
"Phalacrocorax brasilianus",0
"Oceanodroma tethys",0
"Calidris himantopus",0
"Arenaria melanocephala",99.8
"Puffinus opisthomelas",0
"Chlidonias niger",0
"Sterna dougallii",0
"Anas platyrhynchos",0
"Phoebastria immutabilis",51.2
"Limnodromus griseus",87.1
"Synthliboramphus antiquus",58.8
"Pelagodroma marina",0
"Stercorarius longicaudus",18.5
"Puffinus bulleri",66.2
"Puffinus pacificus",0
"Calidris pusilla",0
"Sternula albifrons",0
"Onychoprion anaethetus",0
"Sternula antillarum",0
"Anas rubripes",0
"Somateria mollissima",0
"Pterodroma cookii",0
"Stercorarius maccormicki",0
"Sula dactylatra",0
"Pluvialis squatarola",100
"Phaethon aethereus",0
"Stercorarius skua",0
"Phalacrocorax carbo",0
"Larus glaucoides",0
"Fregata magnificens",0
"Fratercula corniculata",48.9
"Phaethon lepturus",0
"Limosa fedoa",35.4
"Aythya americana",0
"Cygnus buccinator",100
"Sterna repressa",0
"Anas discors",81.3
"Tringa melanoleuca",98.2
"Calidris minutilla",0
"Calidris alba",97.8
"Pterodroma inexpectata",0
"Larus thayeri",48.7
"Aythya collaris",0
"Charadrius wilsonia",0
"Recurvirostra americana",0
"Puffinus carneipes",0
"Pterodroma feae",0
"Gelochelidon nilotica",0
"Sula sula",0
"Sterna elegans",0
"Cepphus carbo",20.5
"Tringa semipalmatus",0
"Numenius phaeopus",59.5
"Podiceps nigricollis",0
"Calidris bairdii",0
"Larus hyperboreus",0
"Hydrocoloeus minutus",0
"Aythya affinis",0
"Rynchops niger",0
"Calidris fuscicollis",0
"Tringa flavipes",0
"Synthliboramphus hypoleucus",0
"Puffinus assimilis",0
"Haematopus palliatus",0
"Charadrius semipalmatus",22.2
"Sula nebouxii",0
"Tringa incana",33.8
"Pelecanus erythrorhynchos",0
"Halocyptena microsoma",0
"Aix sponsa",0
"Puffinus tenuirostris",34.4
"Podilymbus podiceps",51.2
"Larus ridibundus",0
"Himantopus mexicanus",0
"Calidris melanotos",0
"Pterodroma cahow",0
"Actitis macularius",0
"Larus livens",0
