"","x"
"Aechmophorus occidentalis",0
"Alca torda",100
"Anas acuta",0
"Anas crecca",22.1
"Anas discors",0
"Anas platyrhynchos",36.7
"Anas rubripes",85.7
"Anas strepera",0
"Ardea herodias",84.4
"Arenaria interpres",0
"Brachyramphus marmoratus",0
"Branta canadensis",57.7
"Calidris alba",82.8
"Calidris alpina",0
"Calidris fuscicollis",0
"Calidris minutilla",56.6
"Calidris pusilla",49.8
"Calonectris diomedea",100
"Cepphus columba",0
"Cepphus grylle",100
"Cerorhinca monocerata",0
"Charadrius semipalmatus",19.1
"Chlidonias niger",73.7
"Egretta thula",0
"Fratercula arctica",100
"Fratercula cirrhata",0
"Fregetta tropica",19.6
"Fulmarus glacialis",100
"Gavia immer",100
"Gavia stellata",100
"Haematopus palliatus",0
"Hydroprogne caspia",0
"Larus argentatus",100
"Larus atricilla",100
"Larus californicus",0
"Larus delawarensis",100
"Larus fuscus",99.9
"Larus glaucescens",0
"Larus heermanni",0
"Larus hyperboreus",95
"Larus marinus",100
"Larus occidentalis",0
"Larus philadelphia",100
"Megaceryle alcyon",21.1
"Melanitta fusca",100
"Melanitta nigra",100
"Melanitta perspicillata",100
"Mergus serrator",100
"Morus bassanus",100
"Numenius phaeopus",21.1
"Oceanites oceanicus",100
"Oceanodroma castro",100
"Oceanodroma furcata",0
"Oceanodroma homochroa",0
"Oceanodroma leucorhoa",100
"Oceanodroma melania",0
"Onychoprion anaethetus",34.4
"Onychoprion fuscatus",0
"Pelagodroma marina",73.2
"Pelecanus occidentalis",0
"Phaethon aethereus",37.3
"Phaethon lepturus",19.6
"Phalacrocorax auritus",100
"Phalacrocorax brasilianus",0
"Phalacrocorax carbo",99.5
"Phalacrocorax pelagicus",0
"Phalacrocorax penicillatus",0
"Phalaropus fulicarius",100
"Phalaropus lobatus",100
"Phoebastria nigripes",0
"Pluvialis dominica",0
"Pluvialis squatarola",19.4
"Podiceps auritus",0
"Podiceps nigricollis",0
"Podilymbus podiceps",0
"Pterodroma arminjoniana",0
"Pterodroma feae",19.1
"Pterodroma hasitata",64.9
"Ptychoramphus aleuticus",0
"Puffinus bulleri",0
"Puffinus creatopus",0
"Puffinus gravis",100
"Puffinus griseus",100
"Puffinus lherminieri",100
"Puffinus puffinus",100
"Puffinus tenuirostris",0
"Rissa tridactyla",100
"Somateria mollissima",100
"Stercorarius longicaudus",99.9
"Stercorarius maccormicki",100
"Stercorarius parasiticus",100
"Stercorarius pomarinus",100
"Stercorarius skua",100
"Sterna dougallii",100
"Sterna elegans",0
"Sterna forsteri",37.1
"Sterna hirundo",100
"Sterna maxima",19.7
"Sterna paradisaea",100
"Sterna repressa",0
"Sterna sandvicensis",0
"Sternula antillarum",0
"Sula dactylatra",0
"Synthliboramphus antiquus",0
"Uria aalge",100
"Xema sabini",35.1
"Aix sponsa",19.9
"Alle alle",100
"Anas americana",0
"Anous stolidus",0
"Anser caerulescens",0
"Aythya marila",36
"Branta bernicla",19.5
"Bucephala albeola",0
"Calidris melanotos",0
"Charadrius vociferus",0
"Clangula hyemalis",100
"Gelochelidon nilotica",0
"Haliaeetus leucocephalus",19.3
"Larus glaucoides",85
"Limnodromus griseus",0
"Oxyura jamaicensis",0
"Pelecanus erythrorhynchos",0
"Puffinus carneipes",0
"Sula leucogaster",0
"Tringa melanoleuca",0
"Aythya affinis",0
"Bucephala clangula",57.2
"Calidris maritima",0
"Cygnus columbianus",0
"Fratercula corniculata",0
"Histrionicus histrionicus",0
"Hydrocoloeus minutus",0
"Larus canus",0
"Limosa fedoa",0
"Mergus merganser",21.6
"Phoebastria immutabilis",0
"Podiceps grisegena",0
"Pterodroma inexpectata",0
"Puffinus opisthomelas",0
"Tringa semipalmatus",0
"Uria lomvia",100
"Anas clypeata",0
"Aythya americana",0
"Aythya collaris",0
"Aythya valisineria",0
"Larus livens",0
"Recurvirostra americana",0
"Sula nebouxii",0
"Gavia pacifica",0
"Larus pipixcan",0
"Sternula albifrons",21.2
"Actitis macularius",20.4
"Calidris canutus",0
"Fregata magnificens",0
"Hydrobates pelagicus",0
"Pterodroma cahow",0
"Tringa flavipes",0
"Charadrius wilsonia",0
"Halocyptena microsoma",0
"Himantopus mexicanus",0
"Oceanodroma tethys",0
"Pterodroma cookii",0
"Puffinus pacificus",0
"Sula sula",0
"Synthliboramphus hypoleucus",0
"Arenaria melanocephala",0
"Bucephala islandica",0
"Bulweria bulwerii",0
"Calidris himantopus",0
"Cepphus carbo",0
"Haematopus bachmani",0
"Limnodromus scolopaceus",0
"Phalacrocorax urile",0
"Phalaropus tricolor",0
"Tringa incana",0
"Calidris bairdii",0
"Calonectris edwardsii",0
"Oceanodroma monorhis",0
"Plegadis falcinellus",0
"Puffinus assimilis",20.4
"Cygnus buccinator",0
"Larus ridibundus",58.5
"Larus thayeri",0
"Lophodytes cucullatus",0
"Melanitta americana",0
"Rynchops niger",0
