,x
Alca torda,100
Gavia immer,100
Larus philadelphia,100
Melanitta perspicillata,100
Larus atricilla,100
Uria aalge,100
Larus argentatus,100
Puffinus gravis,100
Phalacrocorax auritus,100
Gavia stellata,100
Larus marinus,100
Phalaropus fulicarius,100
Morus bassanus,100
Melanitta fusca,100
Calidris alpina,100
Puffinus griseus,100
Fulmarus glacialis,100
Sterna forsteri,100
Oceanites oceanicus,100
Mergus serrator,100
Pterodroma hasitata,100
Calonectris diomedea,100
Rissa tridactyla,100
Fratercula arctica,100
Puffinus lherminieri,100
Sterna hirundo,100
Oceanodroma leucorhoa,100
Phalaropus lobatus,100
Uria lomvia,100
Arenaria interpres,100
Oceanodroma castro,100
Melanitta nigra,100
Larus fuscus,100
Alle alle,100
Stercorarius parasiticus,100
Sterna maxima,100
Pelecanus occidentalis,100
Stercorarius pomarinus,100
Larus delawarensis,100
Clangula hyemalis,100
Puffinus puffinus,100
Chlidonias niger,100
Somateria mollissima,100
Pluvialis squatarola,100
Stercorarius skua,100
Phalacrocorax carbo,100
Larus hyperboreus,100
Sterna paradisaea,99.9
Stercorarius maccormicki,99.9
Calidris alba,99.9
Podiceps auritus,99.7
Sterna dougallii,99.7
Anas rubripes,99.1
Pterodroma arminjoniana,98.9
Melanitta americana,98.8
Podiceps grisegena,98.5
Pelagodroma marina,98.3
Sternula antillarum,96.9
Ardea herodias,93.7
Onychoprion anaethetus,93.5
Stercorarius longicaudus,92
Phaethon lepturus,91.9
Cygnus columbianus,90.8
Larus glaucoides,88.3
Sterna sandvicensis,86.2
Anas platyrhynchos,84.9
Cepphus grylle,82.1
Sternula albifrons,78.5
Branta canadensis,75.3
Branta bernicla,73.6
Hydrocoloeus minutus,73.5
Numenius phaeopus,68.6
Anas crecca,68
Hydroprogne caspia,67.9
Charadrius wilsonia,66.4
Charadrius semipalmatus,65.9
Xema sabini,61.2
Calidris minutilla,59.3
Sterna repressa,48.6
Bucephala albeola,48.3
Calidris pusilla,46.9
Tringa flavipes,38.3
Phaethon aethereus,37.5
Tringa semipalmatus,37.3
Larus ridibundus,36.8
Calidris himantopus,36.6
Puffinus assimilis,34.8
Limnodromus griseus,23.2
Pterodroma feae,21.9
Rynchops niger,20.9
Actitis macularius,20.8
Aix sponsa,20.7
Aythya marila,20.4
Sula dactylatra,20.3
Tringa melanoleuca,20.1
Calidris fuscicollis,19.9
Haliaeetus leucocephalus,19.8
Pterodroma cahow,19.8
Sula leucogaster,19.7
Calidris bairdii,18.9
Bucephala clangula,16.8
Ptychoramphus aleuticus,0
Anas americana,0
Charadrius vociferus,0
Larus californicus,0
Phalacrocorax urile,0
Cepphus columba,0
Larus glaucescens,0
Brachyramphus marmoratus,0
Aechmophorus occidentalis,0
Larus occidentalis,0
Larus canus,0
Mergus merganser,0
Oceanodroma furcata,0
Fratercula cirrhata,0
Phalacrocorax penicillatus,0
Cerorhinca monocerata,0
Aythya valisineria,0
Oxyura jamaicensis,0
Anas acuta,0
Phalacrocorax pelagicus,0
Gavia pacifica,0
Phoebastria nigripes,0
Bucephala islandica,0
Larus heermanni,0
Puffinus creatopus,0
Anser caerulescens,0
Anas strepera,0
Haematopus bachmani,0
Onychoprion fuscatus,0
Oceanodroma melania,0
Egretta thula,0
Oceanodroma homochroa,0
Phalaropus tricolor,0
Anous stolidus,0
Phalacrocorax brasilianus,0
Oceanodroma tethys,0
Arenaria melanocephala,0
Puffinus opisthomelas,0
Phoebastria immutabilis,0
Synthliboramphus antiquus,0
Puffinus bulleri,0
Puffinus pacificus,0
Pterodroma cookii,0
Fregata magnificens,0
Fratercula corniculata,0
Limosa fedoa,0
Aythya americana,0
Cygnus buccinator,0
Anas discors,0
Pterodroma inexpectata,0
Larus thayeri,0
Aythya collaris,0
Recurvirostra americana,0
Puffinus carneipes,0
Gelochelidon nilotica,0
Sula sula,0
Sterna elegans,0
Cepphus carbo,0
Podiceps nigricollis,0
Aythya affinis,0
Synthliboramphus hypoleucus,0
Haematopus palliatus,0
Sula nebouxii,0
Tringa incana,0
Pelecanus erythrorhynchos,0
Halocyptena microsoma,0
Puffinus tenuirostris,0
Podilymbus podiceps,0
Himantopus mexicanus,0
Calidris melanotos,0
Larus livens,0
