"","x"
"Aechmophorus occidentalis",100
"Alca torda",0
"Anas acuta",90.6
"Anas crecca",0
"Anas discors",0
"Anas platyrhynchos",98.2
"Anas rubripes",0
"Anas strepera",0
"Ardea herodias",79
"Arenaria interpres",0
"Brachyramphus marmoratus",100
"Branta canadensis",47.1
"Calidris alba",36.4
"Calidris alpina",0
"Calidris fuscicollis",0
"Calidris minutilla",0
"Calidris pusilla",0
"Calonectris diomedea",0
"Cepphus columba",100
"Cepphus grylle",0
"Cerorhinca monocerata",100
"Charadrius semipalmatus",0
"Chlidonias niger",0
"Egretta thula",67.2
"Fratercula arctica",0
"Fratercula cirrhata",100
"Fregetta tropica",0
"Fulmarus glacialis",100
"Gavia immer",100
"Gavia stellata",100
"Haematopus palliatus",0
"Hydroprogne caspia",100
"Larus argentatus",100
"Larus atricilla",0
"Larus californicus",100
"Larus delawarensis",49
"Larus fuscus",0
"Larus glaucescens",100
"Larus heermanni",100
"Larus hyperboreus",0
"Larus marinus",0
"Larus occidentalis",100
"Larus philadelphia",100
"Megaceryle alcyon",0
"Melanitta fusca",100
"Melanitta nigra",0
"Melanitta perspicillata",100
"Mergus serrator",75.3
"Morus bassanus",0
"Numenius phaeopus",37.9
"Oceanites oceanicus",0
"Oceanodroma castro",0
"Oceanodroma furcata",100
"Oceanodroma homochroa",100
"Oceanodroma leucorhoa",100
"Oceanodroma melania",100
"Onychoprion anaethetus",0
"Onychoprion fuscatus",0
"Pelagodroma marina",0
"Pelecanus occidentalis",100
"Phaethon aethereus",0
"Phaethon lepturus",0
"Phalacrocorax auritus",0
"Phalacrocorax brasilianus",99.6
"Phalacrocorax carbo",0
"Phalacrocorax pelagicus",100
"Phalacrocorax penicillatus",100
"Phalaropus fulicarius",100
"Phalaropus lobatus",100
"Phoebastria nigripes",100
"Pluvialis dominica",0
"Pluvialis squatarola",0
"Podiceps auritus",17.8
"Podiceps nigricollis",48
"Podilymbus podiceps",0
"Pterodroma arminjoniana",0
"Pterodroma feae",0
"Pterodroma hasitata",0
"Ptychoramphus aleuticus",100
"Puffinus bulleri",100
"Puffinus creatopus",100
"Puffinus gravis",0
"Puffinus griseus",100
"Puffinus lherminieri",0
"Puffinus puffinus",95.8
"Puffinus tenuirostris",48.9
"Rissa tridactyla",100
"Somateria mollissima",0
"Stercorarius longicaudus",78
"Stercorarius maccormicki",91.7
"Stercorarius parasiticus",96.8
"Stercorarius pomarinus",100
"Stercorarius skua",0
"Sterna dougallii",0
"Sterna elegans",99.9
"Sterna forsteri",99.6
"Sterna hirundo",100
"Sterna maxima",35.7
"Sterna paradisaea",78.6
"Sterna repressa",0
"Sterna sandvicensis",0
"Sternula antillarum",0
"Sula dactylatra",0
"Synthliboramphus antiquus",91.9
"Uria aalge",100
"Xema sabini",100
"Aix sponsa",0
"Alle alle",0
"Anas americana",67.3
"Anous stolidus",0
"Anser caerulescens",0
"Aythya marila",0
"Branta bernicla",0
"Bucephala albeola",100
"Calidris melanotos",0
"Charadrius vociferus",0
"Clangula hyemalis",37.2
"Gelochelidon nilotica",0
"Haliaeetus leucocephalus",0
"Larus glaucoides",0
"Limnodromus griseus",0
"Oxyura jamaicensis",97.9
"Pelecanus erythrorhynchos",58.8
"Puffinus carneipes",20.5
"Sula leucogaster",0
"Tringa melanoleuca",0
"Aythya affinis",0
"Bucephala clangula",47.4
"Calidris maritima",0
"Cygnus columbianus",0
"Fratercula corniculata",96.6
"Histrionicus histrionicus",0
"Hydrocoloeus minutus",0
"Larus canus",100
"Limosa fedoa",98.6
"Mergus merganser",90.9
"Phoebastria immutabilis",99.7
"Podiceps grisegena",0
"Pterodroma inexpectata",0
"Puffinus opisthomelas",99.7
"Tringa semipalmatus",91.6
"Uria lomvia",0
"Anas clypeata",0
"Aythya americana",74.9
"Aythya collaris",61.3
"Aythya valisineria",100
"Larus livens",0
"Recurvirostra americana",96.1
"Sula nebouxii",0
"Gavia pacifica",0
"Larus pipixcan",0
"Sternula albifrons",0
"Actitis macularius",0
"Calidris canutus",0
"Fregata magnificens",0
"Hydrobates pelagicus",0
"Pterodroma cahow",0
"Tringa flavipes",0
"Charadrius wilsonia",0
"Halocyptena microsoma",0
"Himantopus mexicanus",37.6
"Oceanodroma tethys",0
"Pterodroma cookii",0
"Puffinus pacificus",57.5
"Sula sula",0
"Synthliboramphus hypoleucus",59.4
"Arenaria melanocephala",0
"Bucephala islandica",0
"Bulweria bulwerii",0
"Calidris himantopus",0
"Cepphus carbo",34.8
"Haematopus bachmani",0
"Limnodromus scolopaceus",0
"Phalacrocorax urile",0
"Phalaropus tricolor",0
"Tringa incana",0
"Calidris bairdii",0
"Calonectris edwardsii",0
"Oceanodroma monorhis",0
"Plegadis falcinellus",0
"Puffinus assimilis",0
"Cygnus buccinator",0
"Larus ridibundus",0
"Larus thayeri",0
"Lophodytes cucullatus",0
"Melanitta americana",0
"Rynchops niger",0
