"","x"
"Aechmophorus occidentalis",100
"Alca torda",0
"Anas acuta",0
"Anas crecca",37.6
"Anas discors",0
"Anas platyrhynchos",0
"Anas rubripes",0
"Anas strepera",0
"Ardea herodias",100
"Arenaria interpres",37.4
"Brachyramphus marmoratus",100
"Branta canadensis",58.8
"Calidris alba",0
"Calidris alpina",0
"Calidris fuscicollis",0
"Calidris minutilla",0
"Calidris pusilla",0
"Calonectris diomedea",0
"Cepphus columba",100
"Cepphus grylle",0
"Cerorhinca monocerata",100
"Charadrius semipalmatus",0
"Chlidonias niger",0
"Egretta thula",0
"Fratercula arctica",0
"Fratercula cirrhata",100
"Fregetta tropica",0
"Fulmarus glacialis",100
"Gavia immer",100
"Gavia stellata",100
"Haematopus palliatus",0
"Hydroprogne caspia",100
"Larus argentatus",100
"Larus atricilla",0
"Larus californicus",100
"Larus delawarensis",88.9
"Larus fuscus",0
"Larus glaucescens",100
"Larus heermanni",100
"Larus hyperboreus",0
"Larus marinus",0
"Larus occidentalis",100
"Larus philadelphia",100
"Megaceryle alcyon",0
"Melanitta fusca",100
"Melanitta nigra",100
"Melanitta perspicillata",100
"Mergus serrator",100
"Morus bassanus",0
"Numenius phaeopus",0
"Oceanites oceanicus",0
"Oceanodroma castro",0
"Oceanodroma furcata",100
"Oceanodroma homochroa",100
"Oceanodroma leucorhoa",100
"Oceanodroma melania",75
"Onychoprion anaethetus",0
"Onychoprion fuscatus",0
"Pelagodroma marina",0
"Pelecanus occidentalis",100
"Phaethon aethereus",0
"Phaethon lepturus",0
"Phalacrocorax auritus",100
"Phalacrocorax brasilianus",0
"Phalacrocorax carbo",0
"Phalacrocorax pelagicus",100
"Phalacrocorax penicillatus",100
"Phalaropus fulicarius",100
"Phalaropus lobatus",100
"Phoebastria nigripes",100
"Pluvialis dominica",0
"Pluvialis squatarola",0
"Podiceps auritus",100
"Podiceps nigricollis",59.9
"Podilymbus podiceps",0
"Pterodroma arminjoniana",0
"Pterodroma feae",0
"Pterodroma hasitata",0
"Ptychoramphus aleuticus",100
"Puffinus bulleri",100
"Puffinus creatopus",100
"Puffinus gravis",0
"Puffinus griseus",100
"Puffinus lherminieri",0
"Puffinus puffinus",75.4
"Puffinus tenuirostris",89.1
"Rissa tridactyla",100
"Somateria mollissima",0
"Stercorarius longicaudus",99.8
"Stercorarius maccormicki",96.7
"Stercorarius parasiticus",100
"Stercorarius pomarinus",100
"Stercorarius skua",0
"Sterna dougallii",0
"Sterna elegans",56.7
"Sterna forsteri",0
"Sterna hirundo",97.1
"Sterna maxima",0
"Sterna paradisaea",100
"Sterna repressa",0
"Sterna sandvicensis",0
"Sternula antillarum",0
"Sula dactylatra",0
"Synthliboramphus antiquus",98
"Uria aalge",100
"Xema sabini",100
"Aix sponsa",0
"Alle alle",0
"Anas americana",100
"Anous stolidus",0
"Anser caerulescens",0
"Aythya marila",0
"Branta bernicla",76.5
"Bucephala albeola",100
"Calidris melanotos",0
"Charadrius vociferus",0
"Clangula hyemalis",0
"Gelochelidon nilotica",0
"Haliaeetus leucocephalus",100
"Larus glaucoides",0
"Limnodromus griseus",0
"Oxyura jamaicensis",57.5
"Pelecanus erythrorhynchos",0
"Puffinus carneipes",0
"Sula leucogaster",0
"Tringa melanoleuca",34.9
"Aythya affinis",0
"Bucephala clangula",100
"Calidris maritima",0
"Cygnus columbianus",0
"Fratercula corniculata",99.5
"Histrionicus histrionicus",0
"Hydrocoloeus minutus",0
"Larus canus",100
"Limosa fedoa",0
"Mergus merganser",100
"Phoebastria immutabilis",100
"Podiceps grisegena",100
"Pterodroma inexpectata",99.9
"Puffinus opisthomelas",0
"Tringa semipalmatus",0
"Uria lomvia",0
"Anas clypeata",0
"Aythya americana",0
"Aythya collaris",0
"Aythya valisineria",0
"Larus livens",0
"Recurvirostra americana",0
"Sula nebouxii",0
"Gavia pacifica",100
"Larus pipixcan",0
"Sternula albifrons",0
"Actitis macularius",0
"Calidris canutus",0
"Fregata magnificens",0
"Hydrobates pelagicus",0
"Pterodroma cahow",0
"Tringa flavipes",0
"Charadrius wilsonia",0
"Halocyptena microsoma",0
"Himantopus mexicanus",0
"Oceanodroma tethys",0
"Pterodroma cookii",0
"Puffinus pacificus",0
"Sula sula",0
"Synthliboramphus hypoleucus",37.6
"Arenaria melanocephala",75.1
"Bucephala islandica",82.5
"Bulweria bulwerii",0
"Calidris himantopus",0
"Cepphus carbo",34.7
"Haematopus bachmani",100
"Limnodromus scolopaceus",0
"Phalacrocorax urile",100
"Phalaropus tricolor",99.9
"Tringa incana",39
"Calidris bairdii",0
"Calonectris edwardsii",0
"Oceanodroma monorhis",0
"Plegadis falcinellus",0
"Puffinus assimilis",0
"Cygnus buccinator",0
"Larus ridibundus",0
"Larus thayeri",0
"Lophodytes cucullatus",0
"Melanitta americana",0
"Rynchops niger",0
