"","x"
"Aechmophorus occidentalis",100
"Alca torda",0
"Anas acuta",100
"Anas crecca",100
"Anas discors",76.7
"Anas platyrhynchos",0
"Anas rubripes",0
"Anas strepera",100
"Ardea herodias",100
"Arenaria interpres",45.6
"Brachyramphus marmoratus",100
"Branta canadensis",100
"Calidris alba",98.5
"Calidris alpina",100
"Calidris fuscicollis",0
"Calidris minutilla",0
"Calidris pusilla",0
"Calonectris diomedea",0
"Cepphus columba",100
"Cepphus grylle",0
"Cerorhinca monocerata",0
"Charadrius semipalmatus",19
"Chlidonias niger",0
"Egretta thula",0
"Fratercula arctica",0
"Fratercula cirrhata",99.7
"Fregetta tropica",0
"Fulmarus glacialis",22.8
"Gavia immer",100
"Gavia stellata",100
"Haematopus palliatus",0
"Hydroprogne caspia",100
"Larus argentatus",95.4
"Larus atricilla",0
"Larus californicus",100
"Larus delawarensis",91.8
"Larus fuscus",0
"Larus glaucescens",100
"Larus heermanni",100
"Larus hyperboreus",0
"Larus marinus",0
"Larus occidentalis",99.4
"Larus philadelphia",100
"Megaceryle alcyon",0
"Melanitta fusca",100
"Melanitta nigra",100
"Melanitta perspicillata",100
"Mergus serrator",100
"Morus bassanus",0
"Numenius phaeopus",57.8
"Oceanites oceanicus",0
"Oceanodroma castro",0
"Oceanodroma furcata",0
"Oceanodroma homochroa",0
"Oceanodroma leucorhoa",0
"Oceanodroma melania",0
"Onychoprion anaethetus",0
"Onychoprion fuscatus",0
"Pelagodroma marina",0
"Pelecanus occidentalis",18.1
"Phaethon aethereus",0
"Phaethon lepturus",0
"Phalacrocorax auritus",100
"Phalacrocorax brasilianus",0
"Phalacrocorax carbo",0
"Phalacrocorax pelagicus",100
"Phalacrocorax penicillatus",100
"Phalaropus fulicarius",19.3
"Phalaropus lobatus",36.7
"Phoebastria nigripes",0
"Pluvialis dominica",0
"Pluvialis squatarola",100
"Podiceps auritus",100
"Podiceps nigricollis",0
"Podilymbus podiceps",48.3
"Pterodroma arminjoniana",0
"Pterodroma feae",0
"Pterodroma hasitata",0
"Ptychoramphus aleuticus",0
"Puffinus bulleri",0
"Puffinus creatopus",0
"Puffinus gravis",0
"Puffinus griseus",0
"Puffinus lherminieri",0
"Puffinus puffinus",0
"Puffinus tenuirostris",0
"Rissa tridactyla",0
"Somateria mollissima",0
"Stercorarius longicaudus",0
"Stercorarius maccormicki",0
"Stercorarius parasiticus",0
"Stercorarius pomarinus",69.4
"Stercorarius skua",0
"Sterna dougallii",0
"Sterna elegans",0
"Sterna forsteri",0
"Sterna hirundo",35.7
"Sterna maxima",0
"Sterna paradisaea",0
"Sterna repressa",0
"Sterna sandvicensis",0
"Sternula antillarum",0
"Sula dactylatra",0
"Synthliboramphus antiquus",0
"Uria aalge",100
"Xema sabini",0
"Aix sponsa",0
"Alle alle",0
"Anas americana",100
"Anous stolidus",0
"Anser caerulescens",100
"Aythya marila",100
"Branta bernicla",100
"Bucephala albeola",100
"Calidris melanotos",0
"Charadrius vociferus",100
"Clangula hyemalis",0
"Gelochelidon nilotica",0
"Haliaeetus leucocephalus",100
"Larus glaucoides",0
"Limnodromus griseus",88.9
"Oxyura jamaicensis",100
"Pelecanus erythrorhynchos",0
"Puffinus carneipes",0
"Sula leucogaster",0
"Tringa melanoleuca",97.3
"Aythya affinis",0
"Bucephala clangula",100
"Calidris maritima",0
"Cygnus columbianus",96.9
"Fratercula corniculata",0
"Histrionicus histrionicus",0
"Hydrocoloeus minutus",0
"Larus canus",100
"Limosa fedoa",37.4
"Mergus merganser",100
"Phoebastria immutabilis",0
"Podiceps grisegena",100
"Pterodroma inexpectata",0
"Puffinus opisthomelas",0
"Tringa semipalmatus",0
"Uria lomvia",0
"Anas clypeata",0
"Aythya americana",0
"Aythya collaris",0
"Aythya valisineria",100
"Larus livens",0
"Recurvirostra americana",0
"Sula nebouxii",0
"Gavia pacifica",100
"Larus pipixcan",0
"Sternula albifrons",0
"Actitis macularius",0
"Calidris canutus",0
"Fregata magnificens",0
"Hydrobates pelagicus",0
"Pterodroma cahow",0
"Tringa flavipes",0
"Charadrius wilsonia",0
"Halocyptena microsoma",0
"Himantopus mexicanus",0
"Oceanodroma tethys",0
"Pterodroma cookii",0
"Puffinus pacificus",0
"Sula sula",0
"Synthliboramphus hypoleucus",0
"Arenaria melanocephala",99.2
"Bucephala islandica",100
"Bulweria bulwerii",0
"Calidris himantopus",0
"Cepphus carbo",0
"Haematopus bachmani",100
"Limnodromus scolopaceus",0
"Phalacrocorax urile",100
"Phalaropus tricolor",100
"Tringa incana",21.3
"Calidris bairdii",0
"Calonectris edwardsii",0
"Oceanodroma monorhis",0
"Plegadis falcinellus",0
"Puffinus assimilis",0
"Cygnus buccinator",100
"Larus ridibundus",0
"Larus thayeri",47.2
"Lophodytes cucullatus",0
"Melanitta americana",0
"Rynchops niger",0
