"","x"
"Alca torda",100
"Haliaeetus leucocephalus",0
"Ptychoramphus aleuticus",0
"Gavia immer",100
"Bucephala albeola",0
"Anas americana",0
"Larus philadelphia",100
"Melanitta perspicillata",19.3
"Podiceps auritus",19.5
"Larus atricilla",100
"Uria aalge",0
"Larus argentatus",100
"Charadrius vociferus",0
"Puffinus gravis",100
"Phalacrocorax auritus",99.1
"Larus californicus",0
"Gavia stellata",100
"Larus marinus",100
"Phalacrocorax urile",0
"Phalaropus fulicarius",100
"Morus bassanus",100
"Bucephala clangula",0
"Melanitta fusca",82.9
"Cepphus columba",0
"Larus glaucescens",0
"Cepphus grylle",0
"Brachyramphus marmoratus",0
"Calidris alpina",58.5
"Aechmophorus occidentalis",0
"Larus occidentalis",0
"Puffinus griseus",77.2
"Larus canus",0
"Mergus merganser",0
"Fulmarus glacialis",92.8
"Sterna forsteri",100
"Podiceps grisegena",0
"Oceanites oceanicus",100
"Ardea herodias",95
"Oceanodroma furcata",0
"Mergus serrator",95.5
"Sterna paradisaea",20.6
"Pterodroma hasitata",100
"Calonectris diomedea",100
"Rissa tridactyla",91.6
"Fratercula arctica",58.1
"Fratercula cirrhata",0
"Branta bernicla",0
"Puffinus lherminieri",100
"Sula leucogaster",22.9
"Sterna hirundo",100
"Phalacrocorax penicillatus",0
"Oceanodroma leucorhoa",88.8
"Phalaropus lobatus",99.7
"Cerorhinca monocerata",0
"Uria lomvia",0
"Arenaria interpres",32.3
"Aythya valisineria",0
"Oxyura jamaicensis",0
"Anas acuta",0
"Phalacrocorax pelagicus",0
"Hydroprogne caspia",100
"Gavia pacifica",0
"Phoebastria nigripes",0
"Bucephala islandica",0
"Oceanodroma castro",100
"Larus heermanni",0
"Melanitta nigra",48
"Larus fuscus",100
"Alle alle",95.8
"Stercorarius parasiticus",67.1
"Branta canadensis",0
"Sterna maxima",100
"Puffinus creatopus",0
"Pelecanus occidentalis",100
"Anser caerulescens",0
"Stercorarius pomarinus",99.9
"Anas strepera",0
"Anas crecca",0
"Haematopus bachmani",0
"Xema sabini",0
"Melanitta americana",100
"Onychoprion fuscatus",100
"Pterodroma arminjoniana",99.3
"Sterna sandvicensis",100
"Larus delawarensis",100
"Clangula hyemalis",19.9
"Oceanodroma melania",0
"Cygnus columbianus",0
"Egretta thula",35.2
"Aythya marila",83.3
"Oceanodroma homochroa",0
"Phalaropus tricolor",0
"Anous stolidus",22.3
"Puffinus puffinus",100
"Phalacrocorax brasilianus",0
"Oceanodroma tethys",0
"Calidris himantopus",0
"Arenaria melanocephala",0
"Puffinus opisthomelas",0
"Chlidonias niger",99.9
"Sterna dougallii",0
"Anas platyrhynchos",0
"Phoebastria immutabilis",0
"Limnodromus griseus",20.6
"Synthliboramphus antiquus",0
"Pelagodroma marina",0
"Stercorarius longicaudus",45.9
"Puffinus bulleri",0
"Puffinus pacificus",0
"Calidris pusilla",34.6
"Sternula albifrons",91
"Onychoprion anaethetus",100
"Sternula antillarum",47.2
"Anas rubripes",0
"Somateria mollissima",0
"Pterodroma cookii",0
"Stercorarius maccormicki",41.1
"Sula dactylatra",0
"Pluvialis squatarola",20.6
"Phaethon aethereus",59.3
"Stercorarius skua",87.7
"Phalacrocorax carbo",0
"Larus glaucoides",50.5
"Fregata magnificens",0
"Fratercula corniculata",0
"Phaethon lepturus",100
"Limosa fedoa",0
"Aythya americana",0
"Cygnus buccinator",0
"Sterna repressa",99.6
"Anas discors",34.4
"Tringa melanoleuca",0
"Calidris minutilla",48.5
"Calidris alba",0
"Pterodroma inexpectata",0
"Larus thayeri",0
"Aythya collaris",0
"Charadrius wilsonia",0
"Recurvirostra americana",0
"Puffinus carneipes",0
"Pterodroma feae",37.2
"Gelochelidon nilotica",96.5
"Sula sula",0
"Sterna elegans",0
"Cepphus carbo",0
"Tringa semipalmatus",0
"Numenius phaeopus",0
"Podiceps nigricollis",0
"Calidris bairdii",0
"Larus hyperboreus",21.2
"Hydrocoloeus minutus",20.6
"Aythya affinis",59.9
"Rynchops niger",0
"Calidris fuscicollis",0
"Tringa flavipes",19.7
"Synthliboramphus hypoleucus",0
"Puffinus assimilis",0
"Haematopus palliatus",0
"Charadrius semipalmatus",20
"Sula nebouxii",0
"Tringa incana",0
"Pelecanus erythrorhynchos",35.3
"Halocyptena microsoma",0
"Aix sponsa",0
"Puffinus tenuirostris",0
"Podilymbus podiceps",0
"Larus ridibundus",0
"Himantopus mexicanus",0
"Calidris melanotos",22.2
"Pterodroma cahow",0
"Actitis macularius",0
"Larus livens",0
